cell_name	feature	corr_value
Cortext	AT1G20850	0.018954169018252073
Cortext	AT1G50060	0.02001952799384925
Cortext	AT3G27200	0.018847727357254984
Cortext	AT1G13620	0.015312465093965234
Cortext	AT4G35350	0.017758044308786164
Cortext	AT1G67090	0.024114588279615164
Cortext	AT4G34970	0.016275022556591655
Cortext	AT1G29930	0.034292375346126135
Cortext	AT4G31840	0.010312676485710045
Cortext	AT5G16250	0.008835917896595631
Cortext	AT5G51890	0.013661219749646063
Cortext	AT5G60020	0.014013559231557211
Cortext	AT2G04025	0.01813247712872114
Cortext	AT3G18280	0.01727137123154751
Cortext	AT1G51470	0.021508854498478253
Cortext	AT3G24020	0.02480215416445029
Cortext	AT4G25820	0.03119228480887204
Cortext	AT1G29920	0.0240811341520446
Cortext	AT2G40113	0.02309118865344165
Cortext	AT4G40090	0.03340623655595725
Cortext	AT5G38410	0.02054504402930181
Cortext	AT4G13580	0.023039750314860927
Cortext	AT3G62680	0.03244996061263874
Cortext	AT5G57530	0.0269030185582841
Cortext	AT3G21550	0.015239967139557503
Cortext	AT3G49960	0.032179889793145254
Cortext	AT5G67400	0.03098001340595044
Cortext	AT2G16005	0.03267529104679877
Cortext	AT3G55230	0.02572250411078331
Cortext	AT4G02270	0.02948834716611317
Cortext	AT2G28315	0.016650709922651826
Cortext	AT3G16920	0.01451132511869158
Cortext	AT2G36100	0.029585988014901463
Cortext	AT5G35190	0.030834279628235834
Cortext	AT4G27435	0.01706990125435224
Cortext	AT3G02640	0.009049851155336885
Cortext	AT5G02640	0.0196288909948852
Cortext	AT2G47540	0.03392579963703429
Cortext	AT2G05380	0.021252643018183977
Cortext	AT2G31083	0.020733135639025898
Cortext	AT1G12560	0.03412635727147314
Cortext	AT1G47600	0.021309424728254586
Cortext	AT4G23800	0.008286599568570665
Cortext	AT5G03170	0.020505881849705473
Cortext	AT1G65570	0.006335206847490224
Cortext	AT1G54970	0.02824724035108081
Cortext	AT5G40020	0.012864317901575351
Cortext	AT5G60490	0.01588903923203479
Cortext	AT2G38080	0.015664076317033516
Cortext	AT5G44030	0.018595959135436622
Cortext	AT2G28670	0.03293591100547124
Cortext	AT2G05070	0.033939636797708755
Cortext	AT5G03260	0.012590480977320365
Cortext	AT1G79040	0.08263248808248201
Cortext	AT3G62020	0.01770473324297777
Cortext	AT4G00680	0.034511249488943685
Cortext	AT5G17420	0.01720907324353258
Cortext	AT5G16490	0.016335916831684776
Cortext	AT5G04200	0.024518815203412325
Cortext	AT3G61470	0.024904664832164473
Cortext	AT2G24980	0.026301292381003
Cortext	AT2G39730	0.0305569985990988
Cortext	AT1G26820	0.019983908110394983
Cortext	AT4G26010	0.03580013839336129
Cortext	AT1G08560	0.008992738050645347
Cortext	AT5G15290	0.02510465200854908
Cortext	AT1G61520	0.03569898284341267
Cortext	AT2G02990	0.01489116163902493
Cortext	AT5G57625	0.03121167714486639
Cortext	AT4G13390	0.02611040872817337
Cortext	AT2G20520	0.02660691158211136
Cortext	AT3G02120	0.011673089768767027
Cortext	AT1G63120	0.014109785859386858
Cortext	AT3G53980	0.01020554679265764
Cortext	AT4G22214	0.03488409288955033
Cortext	AT4G28140	0.010217107725568933
Cortext	AT5G04960	0.030696470000164018
Cortext	AT1G65310	0.04389315479370372
Cortext	AT5G06630	0.022591061393979345
Cortext	AT1G43790	0.011492247475194076
Cortext	AT3G54890	0.023139968486529522
Cortext	AT4G39675	0.012635871470032178
Cortext	AT2G27740	0.017467523028825097
Cortext	AT3G09925	0.03774424075200347
Cortext	AT4G18780	0.017751465944535836
Cortext	AT5G38420	0.023268757016869333
Cortext	AT4G08400	0.027859630977012884
Cortext	AT4G38970	0.025624075159302408
Cortext	AT1G12090	0.13162516827041967
Cortext	AT3G54590	0.03318709961735806
Cortext	AT1G62980	0.03166521487050084
Cortext	AT1G08283	0.019790665757094976
Cortext	AT2G30570	0.019010227217371844
Cortext	AT5G05500	0.03458063380591849
Cortext	AT3G51280	0.010110209110354755
Cortext	AT1G02335	0.011747477150637798
Cortext	AT5G06150	0.007081006726324613
Cortext	AT3G26650	0.01913848468758743
Cortext	AT5G12870	0.014673598689587938
Cortext	AT5G66230	0.005223930603595287
Cortext	AT5G38430	0.022249714876464016
Cortext	AT2G05100	0.028197675593097427
Cortext	AT5G06640	0.028213529255204216
Cortext	AT5G12020	0.0054957297177206915
Cortext	AT3G60280	0.030301259704040417
Cortext	AT1G08160	0.010325699617090863
Cortext	AT4G08410	0.026519738005039675
Cortext	AT5G10400	0.020810697056534575
Cortext	AT5G63660	0.02038314268678102
Cortext	AT1G07610	0.0442312211094213
Cortext	AT1G73620	0.003936703376414474
Cortext	AT5G28640	0.008013311140466089
Cortext	AT1G11190	0.016595159349738802
Cortext	AT3G14740	0.010941229047643627
Cortext	AT5G04080	0.017994762189007217
Cortext	AT5G49080	0.024101332753461463
Cortext	AT1G27140	0.028916033829748417
Cortext	AT4G28750	0.02232052428816701
Cortext	AT3G52110	0.004541340659215291
Cortext	AT4G33270	0.007485529288155676
Cortext	AT5G57540	0.026646360826378716
Cortext	AT1G04610	0.022743029441247047
Cortext	AT1G47210	0.007793352835894416
Cortext	AT4G08160	0.013661355350502835
Cortext	AT5G22410	0.03082630519467135
Cortext	AT1G34330	0.026139644818407567
Cortext	AT1G01750	0.03686847601913147
Cortext	AT2G37090	0.015528108084799703
Cortext	AT1G54050	0.010185986938550181
Cortext	AT4G10340	0.024752786151854098
Cortext	AT5G48920	0.008380328486967402
Cortext	AT1G11925	0.008503419136155757
Cortext	AT2G32300	0.040428240777982426
Cortext	AT1G58070	0.016242898374048804
Cortext	AT1G31330	0.06930132508313362
Cortext	AT2G05440	0.010402408236194465
Cortext	AT5G08391	0.003197685991024095
Cortext	AT5G26330	0.01673347549272027
Cortext	AT5G25090	0.007920697153554266
Cortext	AT2G34420	0.05872655961680859
Cortext	AT5G12030	0.005690384236299588
Cortext	AT3G55990	0.02065597406444152
