cell_name	feature	corr_value
QC	AT2G04025	0.15237891669899667
QC	AT3G60650	0.14303621681323492
QC	AT1G51220	0.13910009725023142
QC	AT2G28790	0.1344980238863525
QC	AT2G21050	0.13445738575269225
QC	AT1G13620	0.13017521729989395
QC	AT1G35230	0.12712596148686306
QC	AT5G28490	0.1186541431818168
QC	AT4G38410	0.11631473724490295
QC	AT1G18250	0.1141929891663608
QC	AT1G56680	0.11417112168905301
QC	AT4G34970	0.11375530846249035
QC	AT2G46990	0.1124919815167564
QC	AT1G12860	0.11122944720825684
QC	AT1G53887	0.10993687620340838
QC	AT5G16023	0.10709384387548608
QC	AT1G26870	0.10518442579210184
QC	AT5G51550	0.10247773579521924
QC	AT2G35345	0.10142132903815476
QC	AT4G09415	0.10112023823610684
QC	AT3G02245	0.0994796523991542
QC	AT1G04610	0.09909013663618237
QC	AT5G17800	0.0956298204397861
QC	AT3G51750	0.09169912187182147
QC	AT1G49475	0.09154317568461916
QC	AT3G57670	0.0910660955432548
QC	AT3G19500	0.09099817567042053
QC	AT2G45740	0.09088208421107086
QC	AT3G53040	0.08929433594315175
QC	AT2G46850	0.08775872329931518
QC	AT1G18265	0.08688086604103057
QC	AT3G29300	0.08626308867753116
QC	AT5G61740	0.08535608922080583
QC	AT4G06850	0.08479874333185981
QC	AT4G15248	0.08414540551201671
QC	AT4G35720	0.08278083406901457
QC	AT2G39700	0.08265506180968805
QC	AT3G60900	0.0822510847838814
QC	AT3G13510	0.0820004949780065
QC	AT2G26180	0.08198362476402142
QC	AT3G25060	0.08179475384941662
QC	AT1G17400	0.08069708735247733
QC	AT1G75580	0.08040082859020482
QC	AT1G46264	0.07984024301294093
QC	AT2G01420	0.07851596712709932
QC	AT2G31160	0.07777835937118431
QC	AT1G73590	0.0769367488115624
QC	AT4G27520	0.07678720862169225
QC	AT1G51190	0.07560048653607658
QC	AT1G49390	0.07558868201551286
QC	AT3G01840	0.07423828269325611
QC	AT4G09940	0.07363082626203574
QC	AT5G01445	0.07276704893059582
QC	AT2G23010	0.07155274177925673
QC	AT3G11260	0.07148641108973562
QC	AT1G12130	0.07130877128913315
QC	AT1G47270	0.0712179181688839
QC	AT5G65330	0.07080240434593936
QC	AT4G36930	0.07050433809206108
QC	AT1G29980	0.07005804904571264
QC	AT2G01430	0.07004639954754224
QC	AT5G02380	0.07003684550066648
QC	AT3G28640	0.0694342961789115
QC	AT4G06415	0.06914657195699213
QC	AT5G39820	0.06878930800867845
QC	AT1G70830	0.06871465891480827
QC	AT5G17520	0.0685517670755636
QC	AT1G75945	0.06844966772293241
QC	AT2G41650	0.06776669758205232
QC	AT5G67060	0.06774466472558965
QC	AT4G14690	0.06684496552856406
QC	AT1G70480	0.06610226409150638
QC	AT1G78520	0.06609483044116217
QC	AT4G03815	0.06606293818303821
QC	AT4G15910	0.0656914125962733
QC	AT5G47440	0.06475984002348233
QC	AT3G62100	0.06431830045067842
QC	AT2G05330	0.06357753727037857
QC	AT1G56045	0.06338597247783923
QC	AT3G23570	0.06316730075787216
QC	AT1G74500	0.06312774534469191
QC	AT3G18180	0.06306355037510022
QC	AT3G03450	0.06278207297689561
QC	AT2G39681	0.0627412362040177
QC	AT2G21660	0.06272398452683448
QC	AT3G59420	0.06226527947717185
QC	AT2G14670	0.06193117677947745
QC	AT5G53048	0.06187926595287192
QC	AT1G06990	0.06186760151648151
QC	AT1G06370	0.061658334770291125
QC	AT2G04480	0.061556167402239466
QC	AT2G18230	0.06114743988506832
QC	AT2G37600	0.06092128987917544
QC	AT5G48360	0.06080697387082345
QC	AT5G10510	0.06074018926521281
QC	AT3G20865	0.06063683676619695
QC	AT3G14362	0.060583001219346636
QC	AT3G44240	0.060571305443296974
QC	AT1G04473	0.06048327978273884
QC	AT3G48670	0.06032262289351946
QC	AT5G61470	0.06025755764044529
QC	AT5G62140	0.06024360908582538
QC	AT5G27200	0.06007369660381106
QC	AT1G17480	0.05987120858505818
QC	AT2G08485	0.059845498993333975
QC	AT1G47670	0.05960745607693395
QC	AT4G39950	0.059561949784098976
QC	AT3G07705	0.05904280524729135
QC	AT4G20320	0.05899178938283015
QC	AT1G30680	0.058816227529382724
QC	AT2G45660	0.058716927007354286
QC	AT5G02715	0.05861154085860135
QC	AT5G17630	0.05850047780021651
QC	AT2G34480	0.05837634793974726
QC	AT3G12965	0.05821550435272942
QC	AT2G24700	0.05815769671263486
QC	AT1G32190	0.05812781518101948
QC	AT2G42730	0.058039147203764276
QC	AT2G26720	0.05772423249885283
QC	AT3G11940	0.05771676154696665
QC	AT4G36180	0.0574140135577308
QC	AT4G37940	0.057305596698040286
QC	AT5G47210	0.05725786234189925
QC	AT5G20430	0.05698520272353282
QC	AT5G58930	0.05696174998021088
QC	AT4G25240	0.05695821042178406
QC	AT2G27720	0.05691823503954936
QC	AT1G29535	0.0568112297954136
QC	AT2G04020	0.056645967953992224
QC	AT5G35870	0.05657672647878915
QC	AT5G46430	0.056232689093369814
QC	AT5G51451	0.05614526500318028
QC	AT3G05140	0.056074002889403264
QC	AT1G22030	0.05588644342601027
QC	AT1G09690	0.055864715676097784
QC	AT3G18740	0.055798379658470905
QC	AT3G14530	0.05572115363470225
QC	AT2G32100	0.055695873761541226
QC	AT1G14410	0.05567246091380428
QC	AT5G19520	0.05562486586017596
QC	AT3G25520	0.05554341748983376
QC	AT5G64080	0.05553815552678006
QC	AT3G05190	0.05548906880585418
QC	AT1G71460	0.05541958682391741
QC	AT2G24165	0.055335264350457915
QC	AT3G04400	0.0552868582248297
QC	AT1G19850	0.05523993457925034
QC	AT3G53190	0.05520530635368746
QC	AT2G18020	0.05519569481011213
QC	AT5G60810	0.055187087745781696
QC	AT1G54385	0.055117103363737305
QC	AT5G52470	0.055096227484745935
QC	AT4G19560	0.05502067497187002
QC	AT1G01100	0.055013499250166534
QC	AT5G15200	0.055012402873114735
QC	AT4G12300	0.05496406361733455
QC	AT3G17840	0.05495096579396154
QC	AT1G31010	0.054946497356146234
QC	AT1G50920	0.05483643550536515
QC	AT3G11120	0.05475843813387809
QC	AT5G14520	0.05473378862977838
QC	AT5G56530	0.054724975930667004
QC	AT4G33865	0.0546897417325043
QC	AT2G40205	0.05464903436631912
QC	AT3G17160	0.054626868209620615
QC	AT1G35612	0.05455368697404017
QC	AT1G09570	0.05452335916818765
QC	AT2G19740	0.0544886359210495
QC	AT1G34418	0.054487247668026616
QC	AT5G13000	0.05441452969839209
QC	AT1G72180	0.05425955662242096
QC	AT1G69620	0.0542441945198637
QC	AT1G53070	0.05423389082006498
QC	AT1G73890	0.05420872067353733
QC	AT3G01690	0.0541924021132622
QC	AT3G50090	0.05416528687729676
QC	AT4G20940	0.05406884278174353
QC	AT4G00238	0.054045443378850526
QC	AT3G10780	0.054035945523886575
QC	AT5G10360	0.054000960802996115
QC	AT4G34670	0.05370417282929157
QC	AT2G01730	0.05359813396389816
QC	AT4G15550	0.05344934147490739
QC	AT1G55580	0.053384880202488084
QC	AT3G48770	0.05332908998307921
QC	AT5G48760	0.05332183186890442
QC	AT2G34325	0.053289303458961663
QC	AT3G53890	0.05323613799154981
QC	AT4G27090	0.05316280571796511
QC	AT5G23740	0.053153406361896416
QC	AT3G46040	0.05311887568269605
QC	AT3G08520	0.05298107617262067
QC	AT3G61110	0.052960379302022166
QC	AT5G10625	0.0529537820150377
QC	AT2G41840	0.052886622766183736
QC	AT3G07410	0.05281146096406356
QC	AT4G38680	0.052746983333902035
QC	AT3G60245	0.05261294937476097
QC	AT1G79110	0.05261256556384288
QC	AT1G43170	0.05255804243885913
QC	AT4G16720	0.05242205061305192
QC	AT3G62250	0.052397374221470616
QC	AT1G66250	0.05237914466923831
QC	AT2G36620	0.05236924205594238
QC	AT5G07152	0.052355248622700495
QC	AT1G27400	0.05235119319469906
QC	AT3G11830	0.05218450009993633
QC	AT2G27530	0.05216130053477231
QC	AT1G70600	0.05211067154598036
QC	AT5G28640	0.052099450328632065
QC	AT5G60520	0.05208043545197718
QC	AT5G56580	0.052053992392535324
QC	AT1G08360	0.05188092039954939
QC	AT5G20290	0.051875626821650964
QC	AT3G11250	0.05186528063851547
QC	AT3G50870	0.05163592102958713
QC	AT3G18850	0.05160301644890245
QC	AT2G30860	0.05154975035886688
QC	AT5G02960	0.05150826354028603
QC	AT5G39740	0.05147781761827455
QC	AT5G18380	0.05145628211330154
QC	AT3G25130	0.05141065409424282
QC	AT3G16080	0.051398337476809525
QC	AT5G40730	0.05136376490343003
QC	AT5G47930	0.051330270700760926
QC	AT3G60640	0.05130160080577737
QC	AT1G07770	0.05119536932160043
QC	AT1G18540	0.05118888469350317
QC	AT4G30340	0.0510513834945583
QC	AT1G69526	0.05104021298992805
QC	AT3G09500	0.05097320965168645
QC	AT1G30330	0.050687528674569285
QC	AT3G49910	0.050677415683274565
QC	AT4G37870	0.05064625973355567
QC	AT2G35950	0.05060355063513169
QC	AT2G38230	0.05060033098035096
QC	AT3G24830	0.05058340148322088
QC	AT2G03505	0.05052079900200418
QC	AT3G12970	0.05047828401561924
QC	AT4G02230	0.050326077444915206
QC	AT5G27700	0.050167030749661036
QC	AT4G23060	0.05016295081391127
QC	AT3G18900	0.05010423573352549
QC	AT5G65700	0.050102659131505946
QC	AT4G14320	0.05008616320800001
QC	AT2G21060	0.0500731127726945
QC	AT5G56710	0.0500011986240058
QC	AT3G05560	0.05000064069084805
QC	AT2G21790	0.05000014461319882
QC	AT2G39460	0.04998229131468599
QC	AT1G02780	0.0499238192696531
QC	AT3G60770	0.04988768413448817
QC	AT3G59540	0.049838871895401836
QC	AT5G26742	0.049751624001400346
QC	AT1G57820	0.049711466102483164
QC	AT2G31920	0.04966197474278596
QC	AT2G22670	0.049656434658985366
QC	AT1G04270	0.04959034021050511
QC	AT4G39300	0.049475451375849834
QC	AT5G19670	0.04947003721035228
QC	AT2G37190	0.049441326720429175
QC	AT3G48930	0.04936758083656654
QC	AT5G27850	0.04928593045584976
QC	AT5G09960	0.04926255678215942
QC	AT3G49010	0.049219240708257055
QC	AT1G31800	0.04921117952462143
QC	AT1G19160	0.04918025492377445
QC	AT3G62840	0.049164031239667186
QC	AT5G48940	0.049128243882990544
QC	AT2G29980	0.049117996901501766
QC	AT5G66940	0.049088657266407626
QC	AT1G27050	0.04899232241741447
QC	AT1G56070	0.048950370511922435
QC	AT5G05860	0.048752246557179316
QC	AT3G20050	0.04874074011342349
QC	AT3G07760	0.048710687308456985
QC	AT1G31040	0.048645632475545736
QC	AT2G04625	0.04862904577323895
QC	AT2G47110	0.048510457794876574
QC	AT3G03620	0.048479472401432536
QC	AT1G52300	0.04839540901974683
QC	AT3G22230	0.04837670389515202
QC	AT3G53740	0.048366650093629636
QC	AT3G14600	0.048344024218527834
QC	AT2G45860	0.0483113921851666
QC	AT2G41990	0.048296165396118425
QC	AT1G19115	0.04826515360864047
QC	AT5G03850	0.048263241131217965
QC	AT4G39200	0.048211284251794516
QC	AT3G05590	0.04812075394551115
QC	AT1G34030	0.04802398968628797
QC	AT1G77940	0.048000066159963786
QC	AT3G45030	0.0479929832305698
QC	AT2G43710	0.047981411144464164
QC	AT3G52590	0.047971767073188135
QC	AT1G15930	0.0479690619089618
QC	AT3G55280	0.047914926492835984
QC	AT3G62870	0.047810984788814286
QC	AT1G56170	0.0477924723496926
QC	AT1G75710	0.04776215403893819
QC	AT1G70940	0.047724633490897714
QC	AT2G40590	0.0476860174217837
QC	AT3G52440	0.04766503624690199
QC	AT1G67430	0.047659899694770094
QC	AT5G61020	0.047647060713410336
QC	AT5G58420	0.047646566795060234
QC	AT4G20440	0.0476057764841869
QC	AT4G09800	0.04757744016989877
QC	AT4G27640	0.047572757634127306
QC	AT3G24240	0.04755216484508743
QC	AT2G36160	0.047538774052924455
QC	AT1G23290	0.04747680570834973
QC	AT3G04445	0.04746354801118188
QC	AT4G19090	0.04743374621966807
QC	AT4G29390	0.0473855208800968
