cell_name	feature	corr_value
Endodermis	AT1G20850	0.031441270741353874
Endodermis	AT1G50060	0.0333629523738604
Endodermis	AT3G27200	0.03845529090756094
Endodermis	AT1G13620	0.02301535043815624
Endodermis	AT4G35350	0.02983132938789696
Endodermis	AT1G67090	0.007159963901299128
Endodermis	AT4G34970	0.019511868472745563
Endodermis	AT1G29930	0.004854833911945292
Endodermis	AT4G31840	0.009563365242758816
Endodermis	AT5G16250	0.017005467507586504
Endodermis	AT5G51890	0.02612865964252682
Endodermis	AT5G60020	0.021889432499040164
Endodermis	AT2G04025	0.022547715428131263
Endodermis	AT3G18280	0.022764185527517022
Endodermis	AT1G51470	0.0392363170550317
Endodermis	AT3G24020	0.6266149787004928
Endodermis	AT4G25820	0.04873301387373269
Endodermis	AT1G29920	0.005804578536954391
Endodermis	AT2G40113	0.5995881695342165
Endodermis	AT4G40090	0.054598617536903205
Endodermis	AT5G38410	0.00802503663243666
Endodermis	AT4G13580	0.627621677941397
Endodermis	AT3G62680	0.059625738518029374
Endodermis	AT5G57530	0.04076311443848125
Endodermis	AT3G21550	0.022951002486516263
Endodermis	AT3G49960	0.06204737501997495
Endodermis	AT5G67400	0.062496401491290356
Endodermis	AT2G16005	0.008182342584201158
Endodermis	AT3G55230	0.637625302009939
Endodermis	AT4G02270	0.04811162070243058
Endodermis	AT2G28315	0.028879849504592627
Endodermis	AT3G16920	0.01572805597599741
Endodermis	AT2G36100	0.6430776020366465
Endodermis	AT5G35190	0.05376059163076361
Endodermis	AT4G27435	0.034203655625651676
Endodermis	AT3G02640	0.010537117776601539
Endodermis	AT5G02640	0.022763802628086555
Endodermis	AT2G47540	0.07147259488118464
Endodermis	AT2G05380	0.01963370889087774
Endodermis	AT2G31083	0.024334502870804103
Endodermis	AT1G12560	0.06727455195107843
Endodermis	AT1G47600	0.031933837484851894
Endodermis	AT4G23800	0.013227139401262994
Endodermis	AT5G03170	0.034830167435267206
Endodermis	AT1G65570	0.008427426444151067
Endodermis	AT1G54970	0.056138558480333285
Endodermis	AT5G40020	0.02066502490090648
Endodermis	AT5G60490	0.022763200734051213
Endodermis	AT2G38080	0.010231464089455923
Endodermis	AT5G44030	0.029240661258148913
Endodermis	AT2G28670	0.6299055770987967
Endodermis	AT2G05070	0.005180861496379745
Endodermis	AT5G03260	0.017123714733237334
Endodermis	AT1G79040	0.03575406435537745
Endodermis	AT3G62020	0.036173822391279184
Endodermis	AT4G00680	0.059724394321315113
Endodermis	AT5G17420	0.029976642949336243
Endodermis	AT5G16490	0.030844572822429535
Endodermis	AT5G04200	0.038146637773238595
Endodermis	AT3G61470	0.004414345751366558
Endodermis	AT2G24980	0.04937580900986861
Endodermis	AT2G39730	0.010465901118214249
Endodermis	AT1G26820	0.028424402507623084
Endodermis	AT4G26010	0.019962319284145946
Endodermis	AT1G08560	0.01620982337422365
Endodermis	AT5G15290	0.48854742748600644
Endodermis	AT1G61520	0.006693773549241471
Endodermis	AT2G02990	0.07549407549065763
Endodermis	AT5G57625	0.05923516412851474
Endodermis	AT4G13390	0.04630936576448715
Endodermis	AT2G20520	0.04205698109353268
Endodermis	AT3G02120	0.02087317727479806
Endodermis	AT1G63120	0.028122732011489942
Endodermis	AT3G53980	0.00769716535968565
Endodermis	AT4G22214	0.06458780687530968
Endodermis	AT4G28140	0.018930402550085202
Endodermis	AT5G04960	0.06027951484439839
Endodermis	AT1G65310	0.041829002864624744
Endodermis	AT5G06630	0.03750704031797647
Endodermis	AT1G43790	0.016205396362399562
Endodermis	AT3G54890	0.004185342622256099
Endodermis	AT4G39675	0.0051835954683308386
Endodermis	AT2G27740	0.029632623240715007
Endodermis	AT3G09925	0.07510824102341855
Endodermis	AT4G18780	0.02661929239825017
Endodermis	AT5G38420	0.004084097671056817
Endodermis	AT4G08400	0.05158287774928915
Endodermis	AT4G38970	0.011187770089745601
Endodermis	AT1G12090	0.038836635335815446
Endodermis	AT3G54590	0.06593049078151775
