cell_name	feature	corr_value
Phloem..CC.	AT2G48090	0.034393733295837704
Phloem..CC.	AT5G41380	0.034288677631242465
Phloem..CC.	AT5G51030	0.03421587937811675
Phloem..CC.	AT1G73040	0.03400855266743317
Phloem..CC.	AT5G49320	0.03363373388137459
Phloem..CC.	AT4G34600	0.03350971831908365
Phloem..CC.	AT2G24030	0.033436254858560034
Phloem..CC.	AT5G66631	0.03335973203490618
Phloem..CC.	AT2G18196	0.033109546357150466
Phloem..CC.	AT2G31345	0.03284183305307836
Phloem..CC.	AT3G03341	0.03268341135876108
Phloem..CC.	AT5G46130	0.032654496626942885
Phloem..CC.	AT5G14070	0.03253030574765778
Phloem..CC.	AT1G70510	0.03251087100000827
Phloem..CC.	AT5G04140	0.03249841410292728
Phloem..CC.	AT2G31960	0.032271336016202364
Phloem..CC.	AT2G08455	0.03226043044554351
Phloem..CC.	AT1G04933	0.03219017805584911
Phloem..CC.	AT2G26380	0.03209162285042567
Phloem..CC.	AT3G15450	0.03192269465412042
Phloem..CC.	AT3G53235	0.031804153829437035
Phloem..CC.	AT4G36740	0.031084922310305338
Phloem..CC.	AT4G08045	0.03102004411322353
Phloem..CC.	AT4G38970	0.03098126604362552
Phloem..CC.	AT3G51490	0.030758714187045306
Phloem..CC.	AT3G25570	0.030743160412784982
Phloem..CC.	AT4G34740	0.030509226733900337
Phloem..CC.	AT5G53820	0.030482755344348564
Phloem..CC.	AT2G26695	0.030277201657977794
Phloem..CC.	AT3G25560	0.03015971775223078
Phloem..CC.	AT1G67710	0.029983757169325363
Phloem..CC.	AT3G16610	0.029916657308481576
Phloem..CC.	AT4G35480	0.02918080173486985
Phloem..CC.	AT2G36640	0.02908877592940098
Phloem..CC.	AT2G19850	0.028699164586427742
Phloem..CC.	AT4G10120	0.028534468419927805
Phloem..CC.	AT2G22860	0.0284165768411599
Phloem..CC.	AT3G29156	0.02830841373643305
Phloem..CC.	AT3G26830	0.027906015496175312
Phloem..CC.	AT1G68740	0.027585091447602298
Phloem..CC.	AT5G05160	0.02733962329673269
Phloem..CC.	AT5G09735	0.027128932253120963
Phloem..CC.	AT1G02705	0.026893381289135068
Phloem..CC.	AT2G23600	0.02666839041220594
Phloem..CC.	AT4G25760	0.0266062118032335
Phloem..CC.	AT3G24900	0.026568123449978248
Phloem..CC.	AT3G21420	0.026522450863436603
Phloem..CC.	AT1G12890	0.02647654162215108
Phloem..CC.	AT1G09240	0.026158924762530792
Phloem..CC.	AT5G04880	0.026106330865550097
Phloem..CC.	AT1G70800	0.02602863133909222
Phloem..CC.	AT1G47960	0.02602137145347588
Phloem..CC.	AT3G26230	0.0260093166115642
Phloem..CC.	AT2G47710	0.02599058666399692
Phloem..CC.	AT1G11290	0.025695089048991985
Phloem..CC.	AT3G24310	0.025516687029575387
Phloem..CC.	AT1G76130	0.025476366508784737
Phloem..CC.	AT1G60410	0.025464275065810036
Phloem..CC.	AT2G30942	0.02544423433146329
Phloem..CC.	AT1G68170	0.02541984813258801
Phloem..CC.	AT5G03495	0.02509474637036636
Phloem..CC.	AT3G50770	0.0250428711041482
Phloem..CC.	AT2G35370	0.024880440526760104
Phloem..CC.	AT2G01590	0.024737522005985727
Phloem..CC.	AT3G47510	0.024681622660219255
Phloem..CC.	AT2G44930	0.024253674935902917
Phloem..CC.	NM-001310648.1	0.02418213774241709
Phloem..CC.	AT2G24010	0.02416968352784083
Phloem..CC.	AT4G22790	0.024163089067627687
Phloem..CC.	AT1G62710	0.02399086383968851
Phloem..CC.	AT3G06435	0.023905376840439682
Phloem..CC.	AT3G51680	0.02385357892307537
Phloem..CC.	AT1G04077	0.023726136943900075
Phloem..CC.	AT2G05830	0.02363498303424641
Phloem..CC.	AT1G70810	0.02362320585650372
Phloem..CC.	AT3G44798	0.0234991485962702
Phloem..CC.	AT4G32170	0.02313994016179643
Phloem..CC.	AT3G62890	0.0231132160629033
Phloem..CC.	AT2G02240	0.023069662165218188
Phloem..CC.	AT3G12750	0.022794955910983426
Phloem..CC.	AT2G35612	0.02262862114667812
Phloem..CC.	AT5G67430	0.022548252295835347
Phloem..CC.	AT1G63820	0.022341943032543537
Phloem..CC.	AT1G53980	0.022190951781177148
Phloem..CC.	AT5G06820	0.022041683286442064
Phloem..CC.	AT4G33550	0.021912970282541785
Phloem..CC.	AT4G23290	0.02155387662152529
Phloem..CC.	AT3G11280	0.02155066664674061
Phloem..CC.	AT3G18420	0.021415814412703512
Phloem..CC.	AT5G40380	0.02138590938812199
Phloem..CC.	AT1G05837	0.021373268155627588
Phloem..CC.	AT5G62790	0.021278391738956147
Phloem..CC.	AT1G66140	0.02125560409784273
Phloem..CC.	AT5G42053	0.02123503143981293
Phloem..CC.	AT4G38530	0.021032002012022245
Phloem..CC.	AT3G50610	0.0209755724521216
Phloem..CC.	AT2G07000	0.02080616327103254
Phloem..CC.	AT1G12870	0.020712366914607924
Phloem..CC.	AT5G42223	0.02062682893424252
Phloem..CC.	AT3G26650	0.02056233952537362
Phloem..CC.	AT1G05813	0.02050401859583317
Phloem..CC.	AT5G41200	0.020493114205179144
Phloem..CC.	AT4G22060	0.020378847745468186
Phloem..CC.	AT1G70895	0.020304920244151425
Phloem..CC.	AT3G08340	0.020263057629538454
Phloem..CC.	AT1G32240	0.02025666704816404
Phloem..CC.	AT5G41390	0.020224694231922486
Phloem..CC.	AT3G47500	0.02018877881133754
Phloem..CC.	AT1G11460	0.020187796332514458
Phloem..CC.	AT2G44880	0.02018242327839296
Phloem..CC.	AT4G13480	0.020136498690659296
Phloem..CC.	AT1G48325	0.02011758002121835
Phloem..CC.	AT2G30570	0.020088220834554155
Phloem..CC.	AT3G63540	0.020037621631325102
Phloem..CC.	AT5G52120	0.019933219681457226
Phloem..CC.	AT1G19715	0.019799132575952453
Phloem..CC.	AT4G36850	0.01979729417876927
Phloem..CC.	AT5G18065	0.01971293146628073
Phloem..CC.	AT1G49850	0.019693952273076416
Phloem..CC.	AT3G25855	0.0196517112067648
Phloem..CC.	AT3G11150	0.01963623936964244
Phloem..CC.	AT1G04370	0.01949447746916836
Phloem..CC.	AT1G20020	0.01945650461243988
Phloem..CC.	AT2G15880	0.01942202378684393
Phloem..CC.	AT3G21352	0.0193319210663423
Phloem..CC.	AT1G68735	0.0193296254375296
Phloem..CC.	AT1G07240	0.019315329576991617
Phloem..CC.	AT4G02420	0.019207549166705824
Phloem..CC.	AT4G11880	0.01917566416450945
Phloem..CC.	AT2G02020	0.01914059812168363
Phloem..CC.	AT3G05640	0.01908265063176677
Phloem..CC.	AT1G52230	0.01907529981210052
Phloem..CC.	AT3G54390	0.01906860957792507
Phloem..CC.	AT2G07621	0.019067188529648588
Phloem..CC.	AT5G62620	0.019056281212440514
Phloem..CC.	AT1G56430	0.019012458041825487
Phloem..CC.	AT4G19690	0.01899549333131851
Phloem..CC.	AT5G20640	0.018978484545370704
Phloem..CC.	AT5G41090	0.01888462809116111
Phloem..CC.	AT4G15660	0.018871767895077444
Phloem..CC.	AT1G09553	0.01878662956447224
Phloem..CC.	AT2G41480	0.018728966175075173
Phloem..CC.	AT5G44580	0.01872613133373979
Phloem..CC.	AT5G46140	0.018679747524917457
Phloem..CC.	AT1G65150	0.0186742916786296
Phloem..CC.	AT5G23235	0.01865391617950321
Phloem..CC.	AT5G46295	0.0186355269028133
Phloem..CC.	AT3G14780	0.01859751422764817
Phloem..CC.	AT5G26620	0.018594204420519067
Phloem..CC.	XM-006533931.3	0.0185918600142496
Phloem..CC.	AT4G24540	0.0185141783806764
Phloem..CC.	AT5G09570	0.018428050476272616
Phloem..CC.	AT5G04310	0.018370194603676688
Phloem..CC.	AT4G19370	0.018283178981271308
Phloem..CC.	AT2G18600	0.01814516739283544
Phloem..CC.	AT1G11110	0.01813711278247207
Phloem..CC.	AT2G41100	0.018111217096087703
Phloem..CC.	AT5G63700	0.01806791522974182
Phloem..CC.	AT2G44920	0.01804495747395756
Phloem..CC.	AT1G27610	0.017970840008148442
Phloem..CC.	AT1G20150	0.01796084511612947
Phloem..CC.	AT4G09105	0.017836358798318238
Phloem..CC.	AT4G09600	0.0178259142396628
Phloem..CC.	AT5G57735	0.017823349330621182
Phloem..CC.	AT2G46530	0.017753603493664918
Phloem..CC.	AT1G69880	0.017725582969994026
Phloem..CC.	AT1G64680	0.01763358235334151
Phloem..CC.	AT2G32200	0.017586588995911073
Phloem..CC.	AT1G32770	0.017513243498602938
Phloem..CC.	AT1G53440	0.017445595374369342
Phloem..CC.	AT3G10040	0.017376182732032713
Phloem..CC.	AT1G03130	0.01730644982515873
Phloem..CC.	AT3G05365	0.017262217441608718
Phloem..CC.	AT1G09340	0.017230458449810044
Phloem..CC.	AT3G52340	0.017195764261306017
Phloem..CC.	AT2G35150	0.01713978999199281
Phloem..CC.	AT5G49620	0.01713802387117583
Phloem..CC.	AT3G22920	0.017083456645710732
Phloem..CC.	AT3G48200	0.01703720452600876
Phloem..CC.	AT4G01595	0.017009380703133934
Phloem..CC.	AT1G12211	0.016988737748222613
Phloem..CC.	AT2G33051	0.016983254935638174
Phloem..CC.	AT5G63690	0.016976383140160187
Phloem..CC.	AT5G47720	0.01688815601903215
Phloem..CC.	AT1G35910	0.016734401541071045
Phloem..CC.	AT2G45760	0.016699857380148647
Phloem..CC.	ATMG00990	0.016689319435024073
Phloem..CC.	AT4G09035	0.016656313659475848
Phloem..CC.	AT3G43790	0.016644486677383268
Phloem..CC.	AT1G18020	0.016625930816945206
Phloem..CC.	AT5G66980	0.016548691196820866
Phloem..CC.	AT1G12180	0.016451402665171474
Phloem..CC.	AT1G01380	0.016388520296245726
Phloem..CC.	AT4G29030	0.016357109735472282
Phloem..CC.	NM-008102.3	0.016322117458084654
Phloem..CC.	AT5G14500	0.0162951076365634
Phloem..CC.	AT1G77380	0.01620316130391106
Phloem..CC.	AT5G16120	0.016179473402427008
Phloem..CC.	AT3G08700	0.016090270230717782
Phloem..CC.	AT3G23210	0.01603125563397594
Phloem..CC.	AT1G15790	0.016005128849304762
Phloem..CC.	AT5G42825	0.016001524363590106
Phloem..CC.	AT5G52190	0.015858693126698933
Phloem..CC.	AT1G47280	0.015849663513411605
Phloem..CC.	AT1G26770	0.015814154402726904
Phloem..CC.	AT1G08290	0.015787391512993264
Phloem..CC.	AT1G44140	0.015781065908907158
Phloem..CC.	AT1G67460	0.01573612699386219
Phloem..CC.	AT1G67020	0.015734034378946347
Phloem..CC.	AT4G10440	0.015719854015551742
Phloem..CC.	ATMG01280	0.0155840822453276
Phloem..CC.	AT2G18328	0.015582157896310737
Phloem..CC.	AT3G62960	0.01556776095139629
Phloem..CC.	AT1G62280	0.0155581653948894
Phloem..CC.	AT1G56165	0.01555228373289482
Phloem..CC.	AT1G02700	0.01553622833621939
Phloem..CC.	AT5G65970	0.015527814267745544
Phloem..CC.	AT1G43920	0.015493246474540891
Phloem..CC.	AT2G47870	0.015417619598620144
Phloem..CC.	AT3G21520	0.015359451131113262
Phloem..CC.	AT4G38700	0.015344003975140137
Phloem..CC.	AT5G60180	0.015248279526931797
Phloem..CC.	AT2G30540	0.015191036750875957
Phloem..CC.	AT5G66816	0.015190720109581527
Phloem..CC.	AT2G38460	0.015185383336022906
Phloem..CC.	AT2G23880	0.015114209232206615
Phloem..CC.	AT2G42250	0.014982572331162581
Phloem..CC.	AT3G10572	0.0148341688521751
Phloem..CC.	AT1G35210	0.014812533451803743
Phloem..CC.	AT3G03120	0.014796085078158166
Phloem..CC.	AT2G31290	0.01479482210523279
Phloem..CC.	AT1G12200	0.01475188575986941
Phloem..CC.	AT4G01060	0.014736422860716141
Phloem..CC.	AT5G28262	0.014709780182400243
Phloem..CC.	AT3G51690	0.01469398959916059
Phloem..CC.	AT2G37870	0.014678632812146512
Phloem..CC.	NM-145456.2	0.0145405822643855
Phloem..CC.	AT2G16360	0.014341037085084288
Phloem..CC.	XM-985134.6	0.01431789662251021
Phloem..CC.	NM-001282001.1	0.014289824487521474
Phloem..CC.	NM-181417.3	0.014289824487521474
